Id,Sentence
366,불면증 치료 ok~
367,바보선언의 영화적 기법은 당시는 물론 현대까지도 생소할 정도다.
368,따뜻하고 즐거운 영화
369,한국어 더빙판은 OOO기 임원판 추천
370,이것이 영웅의 본색보다 나은 것인가. 잔인하기 짝이 없는 쓰레기 영화
371,"엔딩만 충격적, 가본적 있는 촬영장소라서 신선하다."
372,시도만 좋았다
373,이런 삼류 영화인줄은 모르고 봐버렸다.
374,사상 최악의 드라마 영화도 아니다. 역겹다.
375,Passion flows again...
376,연애의 몸짓이나 하는 드라마보다는 낮다.
377,초등학교 때 본 기억이 나요. 생각나면 감동받는 영화..
378,3점 들어갑니다.
379,"한길수, 전국민이 알아야 할 영화"
380,엔딩 크레딧이 올라가는 순간 영화는 다시 시작된다.
381,"잔혹, 강간, 살인만이 등장하는 X같은 영화"
382,잔인함보다 르네의 매력이 잘 드러난 영화! 수작이다.
383,일단 서양정서를 감안하더라도 이것은 OOO기 영화다.
384,역시 1편이 제일 재미있었어.
385,눈물 젖은 감동적인 영화
386,별로 기대 안 했는데 배꼽이 빠진 줄 알았어
387,드라마를 보고 울어본적은 처음이야.
388,역사는 승자만의 기록이라지만 일본이 미래의 승자라는 것은 좀 끔찍하다.
389,이 영화의 원제는 Nowhere in Africa(아프리카 어디에도)
390,복잡한 생각은 필요없다 차라리 로코를 봐 버리자
391,킥킥거리다 보면 러닝타임이 바로... Joseph Locke..
392,좋네요^_^
393,진짜 짱짱!
394,쥐를 너무 맛있게 먹어서... 신고
395,정말 재밌었다. 아직도 생각나다
396,피같이 붉은 사랑이야기
397,글쎄......
398,"최고의 블랙코미디와 패러디, 최고의 카메오들 그리고 FUCK."
399,좋아요. 가족영화로는 작품이 좋아요.
400,잔잔한 행복이 담겨있는 영화.. 금성무 너무 좋아
401,평점 풀터보니 아르바이트가 있다
402,초반에만 괜찮았다.그 다음은 감독이 손을 뗀 듯한 공허한 전개.
403,그런 영화...
404,누가 이 영화를 보고 카펜터 영화라고 할 수 있을까.
405,오리엔탈리즘에 한 표. 마지막으로 양희와 양 키스는 역겨웠다.
406,초반의 긴 반감이 마지막으로 무너진 용두사미가 된 영화
407,기대 많이 해주시고요. 감동의 물결이 밀려옵니다.
408,반전이 있는 멜로 영화?
409,최고로 웃겼어 !! 펭귄 한마리 키우고싶어 !!
410,원작을 흉내내도 중요한 부분은 드물게 고치는 센스
411,"더러운 스토리와 영상, 지루한 시간의 평점이 너무 높다."
412,재미있네요
413,지루해.. 뻔한 스토리.. 전편이 훨씬 좋은 것 같아..
414,"60년대 블록버스터 영화, 전쟁보다 전쟁 스릴러라는 게 맞을 것이다."
415,이걸 정말 멋져요.ㅜㅜ
416,영화의 불감증은 조금이라도 해소된 수작
417,그들의 순수함이 묻어나는 유혹에 빠져보면?
418,반전영화!! 기가 막혀!
419,3개의 시리즈중에서 가장 멋있는 반장의 카리스마!!
420,다 좋은데? 너무 잔잔하다.
421,꼭 봐주세요
422,이 영화를 보고 사랑이란 명목 아래 불륜 바람이 불긴 할까.
423,신경숙은 원작 가격으로 얼마를 받았을까.
424,그냥 밴덤 영화. 더 이상 발전할 수 없다.
425,케이블 xtm 에서 봤는데 정말 재밌더라구요.
426,아! 희망이란... 미래란....
427,나름대로 배역에 맞는 적절한 캐스팅이 좋다.
428,챈들러한테는 미안하지만...
429,돌을 던진 자 스스로는 깨끗한가. 나에게 들어라
430,담담하게 서술한 기적 같은 스포츠사의 한 변.
431,존재조차 몰랐던 영화!! noraism한테 맞아서 나한테 와.
432,순덕이! 순덕이! 순덕이! 순덕이!
433,돈으로 보는 개콘 개그콘서트를 볼 수 없어.
434,점수를 더 줄 수는 없을까?그 시대에 경험할 수 있는 모든 것
435,그렇게 좋았어..
436,독립영화의 승리 재밌었어요.
437,이 영화의 변명은 가족영화라는 것이다.
438,"SF에서는 절대 아니다. 단지 심리, 미스터리, 드라마 장르의 영화."
439,정말 재밌었던...
440,우와!
441,반전을 기억이 안 나는데
442,조은숙 대박이다
443,...이 영화는 한국 SF영화의 자존심입니다.정말 훌륭한 영화입니다.
444,시대적 성장물
445,뭐야 이건? 삼류범죄물☆
446,멜로를 블렌딩한 시리즈.
447,비트박스 못잊어~
448,배창호 최고 걸작
449,최악의 졸작이다
450,극히 폭력적이었던 작품
451,좋은 소재를 엉망으로 만든 영화
452,볼 게 없어서 봤다.
453,답답한 드라마
454,OOO전에 만들어졌다고는 도저히 믿을수없을정도의 화려함.
455,프랑스인이 즐길 수 있는 황당한 액션물
456,스타 특락을 배경으로 한 비보 SF물.
457,몇 번을 봐도 마음에 와닿는 영화.. 바로 그 영화.바구시
458,일단 봐라
459,기존의 드라마와는 다른 풋풋한 드라마는 정말 재미있었습니다.
460,이상아가 괜찮게 나왔는데.
461,"'성룡' 주연인 줄 알고 속인 영화, 쓰레기 확정!"
462,좋네요. 제 여동생도 좋고요~
463,내용을 도무지 알 수 없다. 보험사 직원과 잘 먹고 잘 살 수 있나
464,뉴욕을 배경으로 한 영화여서 끌렸지만 내용이나 엔딩이 많이
465,웃음밖에 나오지 않다
466,정태우였구나
467,스토리는 별로 없는데. 화려함 굉장하네요.ww
468,너무 재미있어서.. 올 시즌 4기까지 계속 보고 있는 중..
469,이런..
470,-_-//
471,재미있는 건가...
472,재미뿐 아니라 교훈도 얻을 수 있는 영화
473,늘 자극적인 것만 찾아다니는 임상수
474,서머셋 몸의 반전이 완벽하게 나온 영화
475,Q. Q 좋은 영화 추천
476,이 정도 잠니 아래 헌터에 맞았나?
477,바퀴벌레...ㅎㅎㅎ
478,동요 너무 재미있어요.찬이는 무왕이었으면 좋겠습니다서동요 만세!
479,평점을 개처럼 쓴 인간들 뭐야? 정말 추천... 재밌어
480,옹졸하면서도 성숙한 그의 일상
481,너무 유치했어요. 배우의 이미지만이 타격이죠.
482,사실 여자는 자상한 남자가 좋다.
483,주성치의 연기도 일품이지만 귀여운 사람들의 연기를 보는것도 즐겁습니다.
484,막문 위의 머리는 왜 벗겨졌지? 난해한 내용이 가득한 영화
485,연산군의 해학을 잘 드러낸 이야기를 영화화한 것.
486,스릴감이 너무 없다 내용은 좋았다.
487,정리는 한국인~
488,지금까지 본 한국영화중 최악이야..현실은 녹록치 않다.
489,칠 점인가
490,뭔가 추억이 있는 용구형님 영화..
491,역시 브래드 피트! 나를 미치게 한 당 호호...
492,두 남매가 주는 인생의 감동..
493,신파잖아.
494,하나도 아깝다.
495,"내 의지로 인생은 계속될까, 아니면 그 반대 일까,"
496,여자친구랑 만났는데...혼자 봐도 0점... 둘이 보면 마이너스
497,로리타와는 비교가 안 되는 졸작
498,"한국인의 정서에 맞지 않는 영화랄까,"
499,하나도 심심해서 정말 재밌게 봤어요.
500,"슬픈 영상, 아름다운 음악.좋다 재밌다~"
501,...말이 안 나오다.
502,네이버의 무개념인지 그 반전 줄거리로 써놓는 게 어때.
503,이게 시청률이 35%를 달리고 있다니 말도 안 돼.
504,킬링 타임용으로는 대히트를 친 영화 진부한 스토리
505,와~나는 정말 좋았어요~비주얼도 강했고~
506,더 큰 세계를 향한 엔딩.
507,하나의 미술 작품을 보는 듯한 아름다운 영상물의 감동적인 영화
508,이를 만든 뒤 감독은 현재 실종 상태다.
509,쓰레기도 이런 쓰레기도 없다 이런 것은 재활용도 안 된다.
510,정말 95년 영화라는 게 믿기지 않을 만큼 탄탄한 스토리입니다.
511,괜찮은데?
512,왜 18살이야? 조제는 15살인데?
513,재미있는 시나리오와 음악의 환상적인 조합!
514,멀리서 시사회를 보러 달려갔는데? 조금 실망했습니다. ㅠ
515,그룹닐바나 얘기인줄 알았는데...
516,기분 좋은 영화
517,이거 왜 그래?
518,좋은 영화
519,웃음을 자아내면서 마음에 뭔가 촘촘하게 남기는 작품
520,자연히 스며드는 절제된 감정 우리는 큰 걸 바라지 않아
521,장롱 밑에 숨어있던 만 원을 찾아낸 기분이랄까? 재미있어요.
522,꽤 재밌게 봤어 ㅋㅋ 재미있다..
523,오래전에 인상깊게 봤던 기억이...
524,영상이 너무 마음에 들어
525,아주 재미없는 작품
526,너무나도 우리에게 익숙해졌다. 지나친 환상에 빠진 영화
527,여주인공이..꽤 괜찮은 얼굴_♪
528,안봐도 전혀 후회없는 영화
529,2편이 1편보다 훨씬 재미있다
530,칠레의 격동기 속에서 한 가족의 삶과 애환을 그린 영화.
531,"하하, 나에게도 두렵지 않은 공포물이 있었다니."
532,화려한 색체가 돋보인다.
